"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
"160",0,0.59820142316633,0.197,0.11,0,Health,SLIT3
"161",0,0.597820162086173,0.397,0.281,0,Health,LINC01762
"162",0,0.597232132090738,0.635,0.51,0,Health,WDR72
"163",0,0.597115607150008,0.497,0.321,0,Health,FRMD4A
"164",0,0.596979911660766,0.711,0.573,0,Health,APBB2
"165",0,0.596467701023145,0.68,0.533,0,Health,KCNJ16
"166",0,0.596338369950187,0.733,0.588,0,Health,C20orf194
"167",0,0.596178814561937,0.583,0.386,0,Health,PPARA
"168",0,0.594802497965985,0.331,0.177,0,Health,CDHR3
"169",0,0.591442910841646,0.471,0.259,0,Health,EFHD1
"170",0,0.587768277666086,0.636,0.539,0,Health,TRPM7
"171",0,0.587338434025341,0.662,0.554,0,Health,THRB
"172",0,0.587006475811188,0.21,0.042,0,Health,HECW1
"173",0,0.582922287852017,0.305,0.165,0,Health,GK
"174",0,0.580883626921107,0.834,0.747,0,Health,ANK3
"175",0,0.578966848483368,0.567,0.393,0,Health,PCLO
"176",0,0.571765557879035,0.763,0.633,0,Health,SOX6
"177",0,0.571320341328301,0.267,0.108,0,Health,SEMA6D
"178",0,0.570978013439532,0.628,0.449,0,Health,KLF12
"179",0,0.568814488997977,0.302,0.151,0,Health,PRLR
"180",0,0.565994359514114,0.601,0.407,0,Health,HIBCH
"181",0,0.562659428053258,0.219,0.083,0,Health,ADAMTS17
"182",0,0.560939225038678,0.675,0.596,0,Health,CADPS2
"183",0,0.559931588584183,0.708,0.548,0,Health,VWA8
"184",0,0.558713945522035,0.687,0.559,0,Health,NFIA
"185",0,0.558449169994114,0.221,0.082,0,Health,PXDNL
"186",0,0.558371413801204,0.412,0.242,0,Health,GHR
"187",0,0.55834911375829,0.45,0.251,0,Health,CDKL1
"188",0,0.556874711399047,0.574,0.375,0,Health,SHLD2
"189",0,0.551939666805861,0.214,0.039,0,Health,GP2
"190",0,0.551737814566178,0.72,0.619,0,Health,NR3C2
"191",0,0.550784912655314,0.468,0.333,0,Health,EPB41L3
"192",0,0.549244834799727,0.568,0.488,0,Health,TACC1
"193",0,0.549205950953669,0.572,0.403,0,Health,NINL
"194",0,0.54757096509612,0.868,0.787,0,Health,MAML2
"195",0,0.54562992298903,0.258,0.145,0,Health,AL589669.1
"196",0,0.545551876532497,0.393,0.159,0,Health,AFMID
"197",0,0.544451544695656,0.413,0.299,0,Health,RNF150
"198",0,0.54129086809716,0.278,0.134,0,Health,GATM
"199",0,0.54111707307873,0.223,0.059,0,Health,FUT6
"200",0,0.54061552042733,0.449,0.321,0,Health,PLCL2
"201",0,0.537577549464811,0.21,0.097,0,Health,CACNB4
"202",0,0.536272748590397,0.619,0.467,0,Health,TFDP2
"203",0,0.534282437212651,0.474,0.345,0,Health,CNTN4
"204",0,0.534219191339558,0.279,0.168,0,Health,ARSB
"205",0,0.531232595224433,0.474,0.346,0,Health,WDFY2
"206",0,0.527923717074041,0.269,0.138,0,Health,HSD11B2
"207",0,0.526906097864464,0.758,0.674,0,Health,MAST4
"208",0,0.526772267170753,0.552,0.441,0,Health,ASTN2
"209",0,0.526756364826399,0.375,0.203,0,Health,SLCO4C1
"210",0,0.526039443838818,0.39,0.18,0,Health,KATNAL2
"211",0,0.523357096247822,0.356,0.253,0,Health,INPP4B
"212",0,0.522629186068179,0.349,0.185,0,Health,PBLD
"213",0,0.519912777350209,0.456,0.247,0,Health,DNAJC11
"214",0,0.518735003698829,0.744,0.604,0,Health,MAPK10
"215",0,0.516716275605335,0.546,0.354,0,Health,TLN2
"216",0,0.515002130763557,0.421,0.266,0,Health,PPM1L
"217",0,0.514175953037062,0.661,0.525,0,Health,MACROD2
"218",0,0.509816277489235,0.341,0.18,0,Health,EHHADH
"219",0,0.509778130551296,0.387,0.286,0,Health,SIM1
"220",0,0.507050980905568,0.307,0.102,0,Health,VEPH1
"221",0,0.506624347352525,0.568,0.442,0,Health,GALNT14
"222",0,0.503940518653379,0.272,0.119,0,Health,XYLB
"223",0,0.502877967945488,0.191,0.046,0,Health,FMO1
"224",0,0.50283564628579,0.616,0.51,0,Health,AEBP2
"225",0,0.500464684990466,0.528,0.381,0,Health,BCL2
"226",0,0.499578283696707,0.375,0.227,0,Health,PRDM16
"227",0,0.498813868772828,0.502,0.418,0,Health,MGAT5
"228",0,0.498265865107086,0.866,0.828,0,Health,LRBA
"229",0,0.498208464289141,0.819,0.764,0,Health,PKP4
"230",0,0.49690598016458,0.384,0.216,0,Health,MARC2
"231",0,0.496673530464523,0.447,0.305,0,Health,KCNJ3
"232",0,0.496062528651487,0.752,0.594,0,Health,PNISR
"233",0,0.494829649121581,0.472,0.352,0,Health,CCDC148
"234",0,0.494589763076205,0.544,0.356,0,Health,TOM1L2
"235",0,0.493324563399176,0.309,0.111,0,Health,TMEM72
"236",0,0.492854189729665,0.149,0.041,0,Health,UNC13C
"237",0,0.491231357324862,0.64,0.456,0,Health,PPP6R2
"238",0,0.490908056536617,0.525,0.409,0,Health,ITPR1
"239",0,0.490375361876935,0.58,0.378,0,Health,MTSS1
"240",0,0.489016128296328,0.974,0.955,0,Health,ZBTB20
"241",0,0.488575475217947,0.646,0.543,0,Health,PTPN13
"242",0,0.488459790974713,0.535,0.313,0,Health,LRRC37A3
"243",0,0.488231060406964,0.675,0.548,0,Health,DENND1A
"244",0,0.485489345906362,0.536,0.381,0,Health,GCNT2
"245",0,0.484656849680637,0.761,0.647,0,Health,BCAS3
"246",0,0.480048320040118,0.815,0.703,0,Health,C9orf3
"247",0,0.479184020767891,0.599,0.475,0,Health,LMO7
"248",0,0.477652971822884,0.571,0.397,0,Health,GALNT18
"249",0,0.475633028505107,0.309,0.164,0,Health,GALM
"250",0,0.475195100930271,0.592,0.402,0,Health,SNRNP70
"251",0,0.474838940690289,0.603,0.468,0,Health,AK3
"252",0,0.474662945992412,0.784,0.641,0,Health,RBM6
"253",0,0.474565955450016,0.865,0.792,0,Health,DDX17
"254",0,0.474419264248545,0.457,0.334,0,Health,AGBL4
"255",0,0.474359226281156,0.21,0.069,0,Health,HNF4A
"256",0,0.47240693644794,0.377,0.22,0,Health,LIN52
"257",0,0.471328653539599,0.233,0.124,0,Health,GLIS1
"258",0,0.469204963468888,0.251,0.094,0,Health,ADAMTS16
"259",0,0.46890545968756,0.565,0.39,0,Health,ZNF704
"260",0,0.46722018040074,0.252,0.099,0,Health,AC008554.1
"261",0,0.466857951050521,0.405,0.283,0,Health,FRMD3
"262",0,0.466608953073007,0.622,0.517,0,Health,TBC1D4
"263",0,0.466088535904478,0.602,0.386,0,Health,TNRC18
"264",0,0.46598289613254,0.26,0.102,0,Health,CLCNKB
"265",0,0.465603179868568,0.15,0.054,0,Health,SLC5A2
"266",0,0.465293835846593,0.521,0.368,0,Health,ATXN7L1
"267",0,0.465176850601703,0.518,0.357,0,Health,HPN
"268",0,0.46373368446481,0.528,0.389,0,Health,CRYL1
"269",0,0.462925404534675,0.32,0.209,0,Health,RGL1
"270",0,0.461141955679452,0.792,0.683,0,Health,PARD3B
"271",0,0.46042890752075,0.544,0.421,0,Health,MAP3K13
"272",0,0.459978087556327,0.281,0.173,0,Health,CCDC178
"273",0,0.458267073897282,0.255,0.077,0,Health,LINC00982
"274",0,0.457593570682518,0.559,0.408,0,Health,UTY
"275",0,0.456959709332713,0.362,0.235,0,Health,SLC12A6
"276",0,0.45660519477638,0.503,0.288,0,Health,NAIP
"277",0,0.456519809853631,0.604,0.48,0,Health,CNKSR3
"278",0,0.456104745670102,0.844,0.75,0,Health,TNRC6B
"279",0,0.454576172079882,0.457,0.251,0,Health,NFYC
"280",0,0.454276439378925,0.282,0.111,0,Health,FN3K
"281",0,0.454130121958103,0.51,0.42,0,Health,ST7
"282",0,0.452925388124189,0.214,0.118,0,Health,LINC01060
