"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
"217",0,0.381602533839557,0.228,0.098,0,Health,GRHPR
"218",0,0.378433468382187,0.151,0.056,0,Health,AIFM1
"219",0,0.378348069615654,0.328,0.209,0,Health,CTSB
"220",0,0.377888931006414,0.138,0.045,0,Health,OGDHL
"221",0,0.377496514209317,0.397,0.227,0,Health,DDT
"222",0,0.377153412208442,0.145,0.048,0,Health,TM7SF3
"223",0,0.375205233480079,0.12,0.024,0,Health,TMEM37
"224",0,0.373730008179374,0.328,0.19,0,Health,OCIAD2
"225",0,0.373021745646561,0.101,0.031,0,Health,LMO2
"226",0,0.371970301529804,0.269,0.144,0,Health,ACTN4
"227",0,0.367592261215795,0.166,0.068,0,Health,NFE2L1
"228",0,0.367069118111664,0.121,0.036,0,Health,IDH1
"229",0,0.366313281095674,0.115,0.023,0,Health,FTCD
"230",0,0.365417848318038,0.107,0.018,0,Health,ACMSD
"231",0,0.362672018331282,0.125,0.037,0,Health,CFI
"232",0,0.360886992505122,0.217,0.102,0,Health,CLTC
"233",0,0.359280670205028,0.503,0.34,0,Health,TXN
"234",0,0.358507103838555,0.391,0.253,0,Health,ATP1A1
"235",0,0.358402655530041,0.124,0.032,0,Health,FARP1
"236",0,0.356820620689997,0.187,0.1,0,Health,EPCAM
"237",0,0.356066692153523,0.409,0.241,0,Health,NDUFC1
"238",0,0.355489986131726,0.298,0.185,0,Health,NSA2
"239",0,0.35502944915851,0.178,0.067,0,Health,SPATS2L
"240",0,0.355018142572839,0.185,0.072,0,Health,QDPR
"241",0,0.353829475647321,0.147,0.058,0,Health,SLC2A4RG
"242",0,0.352248020861904,0.116,0.028,0,Health,WLS
"243",0,0.352159040497725,0.225,0.109,0,Health,TMEM176B
"244",0,0.351837369449109,0.166,0.073,0,Health,BCAM
"245",0,0.351170904671123,0.213,0.108,0,Health,SPAG9
"246",0,0.350339571905652,0.466,0.308,0,Health,NDUFB1
"247",0,0.34850493543627,0.31,0.168,0,Health,SAT2
"248",0,0.347913535379275,0.236,0.119,0,Health,PDK4
"249",0,0.347637370172944,0.154,0.057,0,Health,TPMT
"250",0,0.347620847245996,0.268,0.144,0,Health,CFDP1
"251",0,0.346935936516722,0.237,0.113,0,Health,ADH5
"252",0,0.346436489995199,0.125,0.045,0,Health,GSTT1
"253",0,0.345744991106401,0.32,0.184,0,Health,CANX
"254",0,0.345038625730874,0.372,0.192,0,Health,CYSTM1
"255",0,0.341146452190526,0.135,0.043,0,Health,BPHL
"256",0,0.339926363557499,0.219,0.072,0,Health,CALD1
"257",0,0.339362418947736,0.254,0.122,0,Health,RDX
"258",0,0.339120926198866,0.135,0.049,0,Health,SETD3
"259",0,0.337809576720638,0.371,0.242,0,Health,NDUFA13
"260",0,0.337185802108705,0.111,0.026,0,Health,HPN
"261",0,0.336666385299794,0.139,0.057,0,Health,GALM
"262",0,0.335606390341078,0.498,0.326,0,Health,LAMTOR5
"263",0,0.335529419706202,0.1,0.023,0,Health,METRN
"264",0,0.335301313891373,0.36,0.23,0,Health,SQSTM1
"265",0,0.333918196576539,0.127,0.051,0,Health,SLC40A1
"266",0,0.333853285390558,0.226,0.102,0,Health,SMS
"267",0,0.33336795066218,0.175,0.086,0,Health,CA12
"268",0,0.332295747691856,0.129,0.032,0,Health,AKR7A3
"269",0,0.330929032241669,0.112,0.026,0,Health,TNS1
"270",0,0.330674749845522,0.13,0.051,0,Health,EMX2
"271",0,0.328201785912915,0.113,0.035,0,Health,ZNF503
"272",0,0.327490796476983,0.136,0.035,0,Health,MAOA
"273",0,0.326773980186767,0.263,0.149,0,Health,SLC3A2
"274",0,0.326526549000593,0.125,0.039,0,Health,FAHD1
"275",0,0.325109539798759,0.134,0.044,0,Health,EPHX2
