"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Chchd10",3455,0,-1.50025411321106,0.443,0.644,0,"AKI","CHCHD10"
"Chchd10",42,0,1.72297150597636,0.813,0.437,0,"Health","CHCHD10"
"mt-Nd1",5945,0,-2.01507822775122,0.88,0.981,0,"CKD","MT-ND1"
"mt-Nd1",4521,1.80178631757552e-71,-0.422592096935267,0.997,0.964,4.19239640373473e-67,"Recovery","MT-ND1"
"mt-Nd1",43,0,1.7155776266785,0.994,0.956,0,"Health","MT-ND1"
"mt-Nd1",3412,0,-1.11558340403014,0.966,0.97,0,"AKI","MT-ND1"
"Rida",5908,0,-1.34789812493189,0.095,0.351,0,"CKD","RIDA"
"Rida",3446,0,-1.41474405790346,0.207,0.394,0,"AKI","RIDA"
"Rida",44,0,1.69038818305725,0.539,0.208,0,"Health","RIDA"
"Pvalb",45,0,1.68350904796477,0.158,0.048,0,"Health","PVALB"
"Pvalb",3457,0,-1.53140645438678,0.021,0.128,0,"AKI","PVALB"
"Pdzk1ip1",4646,3.22241943597075e-49,-0.427296149029557,0.316,0.366,7.49792554361674e-45,"Recovery","PDZK1IP1"
"Pdzk1ip1",46,0,1.68080961067175,0.587,0.245,0,"Health","PDZK1IP1"
"Pdzk1ip1",3421,0,-1.15743544277641,0.271,0.419,0,"AKI","PDZK1IP1"
"Pdzk1ip1",5932,0,-1.59024601802209,0.084,0.398,0,"CKD","PDZK1IP1"
"Ndufa2",3415,0,-1.13274002557619,0.589,0.672,0,"AKI","NDUFA2"
"Ndufa2",5844,0,-0.992104073487409,0.529,0.654,0,"CKD","NDUFA2"
"Ndufa2",47,0,1.66381704688294,0.782,0.567,0,"Health","NDUFA2"
"Ndufa2",4160,0,-0.805043095386654,0.537,0.655,0,"Recovery","NDUFA2"
"4931406C07Rik",3430,0,-1.22991423230371,0.083,0.25,0,"AKI","C11orf54"
"4931406C07Rik",5838,0,-0.977472439285054,0.06,0.2,0,"CKD","C11orf54"
"4931406C07Rik",48,0,1.65371002374061,0.369,0.089,0,"Health","C11orf54"
"4931406C07Rik",4488,2.92289271397401e-77,-0.57385923184424,0.135,0.19,6.80098676687472e-73,"Recovery","C11orf54"
"Ndrg1",4393,4.36061391629182e-106,-0.684858661178877,0.281,0.353,1.01462764604278e-101,"Recovery","NDRG1"
"Ndrg1",3405,0,-1.07287319878085,0.29,0.38,0,"AKI","NDRG1"
"Ndrg1",49,0,1.65326387550386,0.508,0.261,0,"Health","NDRG1"
"Ndrg1",5899,0,-1.30383933071583,0.15,0.371,0,"CKD","NDRG1"
"Cyp2e1",50,0,1.65111743596249,0.266,0.033,0,"Health","CYP2E1"
"Cyp2e1",6133,1.48072826904485e-258,-0.866675367729072,0.027,0.123,3.44535853641356e-254,"CKD","CYP2E1"
"Cyp2e1",4803,2.105156562656e-28,-0.476388598912119,0.088,0.114,4.89827828998797e-24,"Recovery","CYP2E1"
"Cyp2e1",3437,0,-1.31924874999179,0.017,0.175,0,"AKI","CYP2E1"
"Slc22a6",4850,7.34776696493542e-18,-0.393246801456394,0.09,0.111,1.70967841740117e-13,"Recovery","SLC22A6"
"Slc22a6",51,0,1.63793835282302,0.258,0.034,0,"Health","SLC22A6"
"Slc22a6",3438,0,-1.32318097634786,0.018,0.17,0,"AKI","SLC22A6"
"Slc22a6",6097,1.73033646406191e-267,-0.926245937471442,0.024,0.121,4.02614688457925e-263,"CKD","SLC22A6"
"Zbtb20",4257,1.69211486229701e-183,-0.854856675131689,0.249,0.349,3.93721286159268e-179,"Recovery","ZBTB20"
