"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Slc43a2",71,0,0.261072573977392,0.201,0.089,0,"Health","SLC43A2"
"Slc43a2",767,0,-0.261072573977392,0.089,0.201,0,"CKD","SLC43A2"
"Sec62",72,0,0.259917772083132,0.502,0.404,0,"Health","SEC62"
"Sec62",766,0,-0.259917772083132,0.404,0.502,0,"CKD","SEC62"
"Mgst3",764,0,-0.259468855993025,0.197,0.304,0,"CKD","MGST3"
"Mgst3",74,0,0.259468855993025,0.304,0.197,0,"Health","MGST3"
"Ppargc1a",763,0,-0.254957669336226,0.11,0.223,0,"CKD","PPARGC1A"
"Ppargc1a",75,0,0.254957669336226,0.223,0.11,0,"Health","PPARGC1A"
"Ubc",76,0,0.253234698181887,0.5,0.402,0,"Health","UBC"
"Ubc",762,0,-0.253234698181887,0.402,0.5,0,"CKD","UBC"
"mt-Nd3",77,0,0.251609495775219,0.764,0.729,0,"Health","MT-ND3"
"mt-Nd3",761,0,-0.251609495775219,0.729,0.764,0,"CKD","MT-ND3"
"Cyp2d26",760,0,-0.250408201679092,0.061,0.167,0,"CKD","CYP2D6"
"Cyp2d26",78,0,0.250408201679092,0.167,0.061,0,"Health","CYP2D6"
"Cyc1",79,0,0.247948952728273,0.535,0.442,0,"Health","CYC1"
"Cyc1",759,0,-0.247948952728273,0.442,0.535,0,"CKD","CYC1"
"Igfbp5",758,0,-0.247191671516679,0.062,0.155,0,"CKD","IGFBP5"
"Igfbp5",80,0,0.247191671516679,0.155,0.062,0,"Health","IGFBP5"
"Wnk4",81,0,0.246654878650746,0.166,0.071,0,"Health","WNK4"
"Wnk4",757,0,-0.246654878650746,0.071,0.166,0,"CKD","WNK4"
"Epcam",82,0,0.243350251539165,0.126,0.025,0,"Health","EPCAM"
"Epcam",756,0,-0.243350251539165,0.025,0.126,0,"CKD","EPCAM"
"Slc7a8",83,0,0.241936862876131,0.186,0.082,0,"Health","SLC7A8"
"Slc7a8",755,0,-0.241936862876131,0.082,0.186,0,"CKD","SLC7A8"
"Mif",84,0,0.24180262455815,0.691,0.623,0,"Health","MIF"
"Mif",754,0,-0.24180262455815,0.623,0.691,0,"CKD","MIF"
"Scnn1a",85,0,0.241592329742013,0.119,0.018,0,"Health","SCNN1A"
"Scnn1a",753,0,-0.241592329742013,0.018,0.119,0,"CKD","SCNN1A"
"Aldoa",752,0,-0.240873170877282,0.49,0.577,0,"CKD","ALDOA"
"Aldoa",86,0,0.240873170877282,0.577,0.49,0,"Health","ALDOA"
"Uqcrfs1",750,0,-0.23655357699957,0.479,0.558,0,"CKD","UQCRFS1"
"Uqcrfs1",88,0,0.23655357699957,0.558,0.479,0,"Health","UQCRFS1"
"Ckb",89,0,0.23627712086867,0.125,0.039,0,"Health","CKB"
"Ckb",749,0,-0.23627712086867,0.039,0.125,0,"CKD","CKB"
"Acaa2",90,0,0.235879680634037,0.231,0.125,0,"Health","ACAA2"
"Acaa2",748,0,-0.235879680634037,0.125,0.231,0,"CKD","ACAA2"
"Slc7a7",747,0,-0.234948844108149,0.084,0.18,0,"CKD","SLC7A7"
"Slc7a7",91,0,0.234948844108149,0.18,0.084,0,"Health","SLC7A7"
"Tceal9",92,0,0.234693564726503,0.244,0.139,0,"Health","TCEAL9"
"Tceal9",746,0,-0.234693564726503,0.139,0.244,0,"CKD","TCEAL9"
"Mecom",745,0,-0.231148984859633,0.017,0.115,0,"CKD","MECOM"
"Mecom",93,0,0.231148984859633,0.115,0.017,0,"Health","MECOM"
"Rhcg",744,0,-0.230526584892112,0.012,0.104,0,"CKD","RHCG"
"Rhcg",94,0,0.230526584892112,0.104,0.012,0,"Health","RHCG"
"Eif3j1",95,0,0.230255925026444,0.169,0.057,0,"Health","EIF3J"
"Eif3j1",743,0,-0.230255925026444,0.057,0.169,0,"CKD","EIF3J"
"Cldn8",742,0,-0.228214108972914,0.015,0.111,0,"CKD","CLDN8"
"Cldn8",96,0,0.228214108972914,0.111,0.015,0,"Health","CLDN8"
"Slc25a3",741,0,-0.223770269222105,0.666,0.719,0,"CKD","SLC25A3"
"Slc25a3",97,0,0.223770269222105,0.719,0.666,0,"Health","SLC25A3"
"Ier3",740,0,-0.222199147262909,0.04,0.123,0,"CKD","IER3"
"Ier3",98,0,0.222199147262909,0.123,0.04,0,"Health","IER3"
"Cox5a",739,0,-0.217109317078213,0.687,0.745,0,"CKD","COX5A"
"Cox5a",99,0,0.217109317078213,0.745,0.687,0,"Health","COX5A"
"Tmem72",100,0,0.207843434946308,0.105,0.017,0,"Health","TMEM72"
"Tmem72",738,0,-0.207843434946308,0.017,0.105,0,"CKD","TMEM72"
"Efhd1",737,0,-0.206979801399751,0.016,0.103,0,"CKD","EFHD1"
"Efhd1",101,0,0.206979801399751,0.103,0.016,0,"Health","EFHD1"
"Krt7",102,0,0.203995529739715,0.102,0.019,0,"Health","KRT7"
"Krt7",736,0,-0.203995529739715,0.019,0.102,0,"CKD","KRT7"
"Atp5c1",103,0,0.202643859525723,0.617,0.558,0,"Health","ATP5F1C"
"Atp5c1",735,0,-0.202643859525723,0.558,0.617,0,"CKD","ATP5F1C"
"Wwp1",104,0,-0.200745057309427,0.224,0.352,0,"Health","WWP1"
