"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Hgd",61,0,0.7035703163882,0.135,0.071,0,"Health","HGD"
"Hgd",855,7.28748590183367e-255,-0.497386395249908,0.061,0.102,1.97731354974453e-250,"AKI","HGD"
"Adtrp",62,0,0.689845800099005,0.124,0.068,0,"Health","ADTRP"
"Zbtb20",733,0,-0.836011121835782,0.457,0.544,0,"AKI","ZBTB20"
"Zbtb20",1294,1.11253692926405e-308,0.2734380566887,0.578,0.467,1.11253721282649e-308,"CKD","ZBTB20"
"Zbtb20",63,0,0.689352112599496,0.487,0.51,0,"Health","ZBTB20"
"Slc27a2",1377,5.78692872438262e-179,0.418553357715014,0.115,0.068,1.57016737078674e-174,"CKD","SLC27A2"
"Slc27a2",764,0,-1.00340835112501,0.051,0.111,0,"AKI","SLC27A2"
"Slc27a2",64,0,0.688223552250314,0.104,0.079,0,"Health","SLC27A2"
"Camta1",852,2.77404100556484e-256,-0.522288797349634,0.078,0.115,7.52680546039909e-252,"AKI","CAMTA1"
"Camta1",65,0,0.686970321226182,0.141,0.087,0,"Health","CAMTA1"
"Agps",66,0,0.682318350061045,0.197,0.17,0,"Health","AGPS"
"Agps",691,0,-0.621640281614493,0.159,0.189,0,"AKI","AGPS"
"Acsm1",67,0,0.678745476653949,0.267,0.188,0,"Health","ACSM1"
"Acsm1",777,0,-1.09225673048417,0.143,0.253,0,"AKI","ACSM1"
"Acsm1",1340,1.60061565095095e-227,0.499354377290199,0.244,0.183,4.34295044572521e-223,"CKD","ACSM1"
"Wnk1",68,0,0.678435985733628,0.186,0.228,0,"Health","WNK1"
"Wnk1",788,0,-1.40110687843317,0.215,0.223,0,"AKI","WNK1"
"Wnk1",1297,5.59497575119505e-306,0.73299311811117,0.245,0.205,1.51808477057175e-301,"CKD","WNK1"
"Nfyc",784,0,-1.22999185365633,0.129,0.282,0,"AKI","NFYC"
"Nfyc",69,0,0.676050261793446,0.274,0.198,0,"Health","NFYC"
"Nfyc",1245,0,0.609273345719557,0.286,0.176,0,"CKD","NFYC"
"Zfp697",717,0,-0.753191665356448,0.117,0.184,0,"AKI","ZNF697"
"Zfp697",1655,2.12265080229049e-39,0.213461661664038,0.173,0.145,5.7593884218548e-35,"CKD","ZNF697"
"Zfp697",70,0,0.672496337603591,0.204,0.142,0,"Health","ZNF697"
"Gk",765,0,-1.00559605114936,0.085,0.174,0,"AKI","GK3P"
"Gk",1360,8.43113414151524e-203,0.434868133308134,0.175,0.113,2.28761962661733e-198,"CKD","GK3P"
"Gk",71,0,0.671411675786913,0.171,0.125,0,"Health","GK3P"
"Pbx1",841,7.28234985816664e-280,-0.693910467965131,0.17,0.239,1.97591998701635e-275,"AKI","PBX1"
"Pbx1",72,0,0.66822416329772,0.21,0.208,0,"Health","PBX1"
"B3gat2",73,0,0.664779028688623,0.191,0.122,0,"Health","B3GAT2"
"B3gat2",701,0,-0.658108605700632,0.103,0.163,0,"AKI","B3GAT2"
"Slc12a6",683,0,-0.594979099373259,0.086,0.131,0,"AKI","SLC12A6"
"Slc12a6",74,0,0.659713492163869,0.155,0.099,0,"Health","SLC12A6"
"Dhtkd1",75,0,0.65888934738387,0.111,0.058,0,"Health","DHTKD1"
"Ppargc1a",76,0,0.653987464708208,0.296,0.252,0,"Health","PPARGC1A"
"Ppargc1a",1243,0,0.670515130366754,0.335,0.222,0,"CKD","PPARGC1A"
"Ppargc1a",785,0,-1.2867651617268,0.187,0.32,0,"AKI","PPARGC1A"
"Hlf",77,0,0.652546476208733,0.108,0.052,0,"Health","HLF"
"Dnm3",1519,2.19560130913272e-78,0.301538652608639,0.187,0.15,5.9573250320698e-74,"CKD","DNM3"
"Dnm3",78,0,0.647311889682227,0.195,0.155,0,"Health","DNM3"
"Dnm3",730,0,-0.82624583311304,0.129,0.19,0,"AKI","DNM3"
"Agbl4",79,0,0.647228483234569,0.155,0.096,0,"Health","AGBL4"
"Agbl4",715,0,-0.746553772313152,0.074,0.136,0,"AKI","AGBL4"
"Agbl4",1622,1.35279887838394e-50,0.229651325047436,0.125,0.1,3.67054919671916e-46,"CKD","AGBL4"
"Apbb2",880,9.77595556706067e-237,-0.506938873769946,0.16,0.22,2.65251002401057e-232,"AKI","APBB2"
"Apbb2",80,0,0.639145195933332,0.235,0.183,0,"Health","APBB2"
"Ankib1",81,0,0.615071355151306,0.18,0.121,0,"Health","ANKIB1"
"Ankib1",673,0,-0.554382999489003,0.106,0.155,0,"AKI","ANKIB1"
"Slco1a6",82,0,0.60923073871608,0.195,0.151,0,"Health","SLCO1A2"
"Slco1a6",688,0,-0.609591898903237,0.129,0.184,0,"AKI","SLCO1A2"
"Lactb2",1521,3.2306235366049e-78,0.290885642191173,0.141,0.105,8.76565084187008e-74,"CKD","LACTB2"
"Lactb2",83,0,0.608538709135451,0.158,0.106,0,"Health","LACTB2"
"Lactb2",724,0,-0.77693459836792,0.079,0.148,0,"AKI","LACTB2"
"Osbpl8",1393,2.14079229446479e-162,0.445139227652291,0.211,0.156,5.80861173257131e-158,"CKD","OSBPL8"
"Osbpl8",84,0,0.605375790637382,0.205,0.167,0,"Health","OSBPL8"
"Osbpl8",753,0,-0.950722001338957,0.132,0.209,0,"AKI","OSBPL8"
"Rab11fip3",85,0,0.60343460942004,0.214,0.172,0,"Health","RAB11FIP3"
"Rab11fip3",1471,1.29778709675406e-101,0.216320160608088,0.211,0.165,3.5212857296228e-97,"CKD","RAB11FIP3"
"Rab11fip3",706,0,-0.690786195586982,0.142,0.212,0,"AKI","RAB11FIP3"
"Erc2",711,0,-0.719879149398445,0.113,0.184,0,"AKI","ERC2"
"Erc2",1604,1.99716567895328e-55,0.244629374289687,0.173,0.142,5.41890963670392e-51,"CKD","ERC2"
"Erc2",86,0,0.601870268947278,0.202,0.139,0,"Health","ERC2"
"Mtss1",813,1.15428475368219e-308,-0.483572103340784,0.199,0.256,2.26548744044181e-305,"AKI","MTSS1"
"Mtss1",87,0,0.59425943952647,0.27,0.22,0,"Health","MTSS1"
"Fhit",88,0,0.593741310392583,0.415,0.363,0,"Health","FHIT"
"Fhit",741,0,-0.912314672047358,0.294,0.438,0,"AKI","FHIT"
"Fhit",1253,0,0.422329513115065,0.451,0.333,0,"CKD","FHIT"
"Col4a3",1232,0,0.847045872112524,0.372,0.197,0,"CKD","COL4A3"
"Col4a3",89,0,0.591919863938484,0.294,0.249,0,"Health","COL4A3"
"Col4a3",792,0,-1.46138216954928,0.151,0.342,0,"AKI","COL4A3"
"Macrod2",746,0,-0.927987606617219,0.1,0.2,0,"AKI","MACROD2"
"Macrod2",1355,8.24574227588816e-208,0.440644134463762,0.2,0.133,2.23731725171673e-203,"CKD","MACROD2"
"Macrod2",90,0,0.587834405068062,0.2,0.144,0,"Health","MACROD2"
"Plxdc2",695,0,-0.631591014727381,0.199,0.277,0,"AKI","PLXDC2"
"Plxdc2",91,0,0.576776610248315,0.281,0.233,0,"Health","PLXDC2"
"Slc12a1",799,0,-1.83231774810925,0.112,0.203,0,"AKI","SLC12A1"
"Slc12a1",1225,0,1.09941994551472,0.228,0.128,0,"CKD","SLC12A1"
