"gene","X","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Pnkd",525,0,0.423808081,0.292,0.248,0,"Control",0.044,"PNKD"
"Pnkd",4639,2.91e-200,-0.296860302,0.217,0.269,6.76e-196,"IRI_long_1",-0.052,"PNKD"
"Dpm3",3645,5.02e-193,-0.320361034,0.172,0.27,1.17e-188,"IRI_short_14",-0.098,"DPM3"
"Dpm3",526,0,0.423723082,0.273,0.248,0,"Control",0.025,"DPM3"
"Dpm3",6102,6.71e-84,-0.293343442,0.19,0.261,1.56e-79,"IRI_long_3",-0.071,"DPM3"
"Glrx5",2255,0,-0.200151421,0.288,0.261,0,"IRI_short_1",0.027,"GLRX5"
"Glrx5",4874,5.1e-133,-0.20755861,0.241,0.269,1.19e-128,"IRI_long_1",-0.028,"GLRX5"
"Glrx5",527,0,0.423611757,0.29,0.253,0,"Control",0.037,"GLRX5"
"Glrx5",8013,2.11e-150,-0.315330778,0.199,0.275,4.91e-146,"IRI_long_14",-0.076,"GLRX5"
"Abhd17c",8026,7.23e-145,-0.248770128,0.081,0.155,1.68e-140,"IRI_long_14",-0.074,"ABHD17C"
"Abhd17c",4838,1.07e-143,-0.218142175,0.123,0.149,2.48e-139,"IRI_long_1",-0.026,"ABHD17C"
"Abhd17c",6261,8.32e-60,-0.224298808,0.089,0.15,1.94e-55,"IRI_long_3",-0.061,"ABHD17C"
"Abhd17c",528,0,0.423232302,0.183,0.128,0,"Control",0.055,"ABHD17C"
"Mocs2",7993,2.75e-161,-0.285733297,0.095,0.166,6.41e-157,"IRI_long_14",-0.071,"MOCS2"
"Mocs2",2678,1.46e-288,-0.236460613,0.144,0.16,3.4e-284,"IRI_short_1",-0.016,"MOCS2"
"Mocs2",529,0,0.423205251,0.198,0.137,0,"Control",0.061,"MOCS2"
"Slc1a1",530,0,0.423180001,0.115,0.028,0,"Control",0.087,"SLC1A1"
"Chchd3",7890,2.33e-188,-0.311944507,0.129,0.215,5.42e-184,"IRI_long_14",-0.086,"CHCHD3"
"Chchd3",4663,1.11e-193,-0.296273484,0.147,0.212,2.57e-189,"IRI_long_1",-0.065,"CHCHD3"
"Chchd3",2279,0,-0.219626051,0.21,0.203,0,"IRI_short_1",0.007,"CHCHD3"
"Chchd3",6274,4.61e-57,-0.228609248,0.164,0.207,1.07e-52,"IRI_long_3",-0.043,"CHCHD3"
"Chchd3",531,0,0.423014006,0.239,0.187,0,"Control",0.052,"CHCHD3"
"Txndc17",7583,2.04e-270,-0.40953414,0.305,0.412,4.74e-266,"IRI_long_14",-0.107,"TXNDC17"
"Txndc17",532,0,0.42295323,0.391,0.403,0,"Control",-0.012,"TXNDC17"
"Cdc37l1",2280,0,-0.21977852,0.164,0.162,0,"IRI_short_1",0.002,"CDC37L1"
"Cdc37l1",4851,1.09e-138,-0.25098138,0.12,0.168,2.54e-134,"IRI_long_1",-0.048,"CDC37L1"
"Cdc37l1",533,0,0.422878074,0.203,0.142,0,"Control",0.061,"CDC37L1"
"Chchd7",4871,2.65e-133,-0.206326021,0.167,0.187,6.18e-129,"IRI_long_1",-0.02,"CHCHD7"
"Chchd7",2664,2.56e-307,-0.201120752,0.192,0.183,5.96e-303,"IRI_short_1",0.009,"CHCHD7"
"Chchd7",6177,2.92e-73,-0.273090757,0.125,0.188,6.79e-69,"IRI_long_3",-0.063,"CHCHD7"
"Chchd7",7768,9.49e-219,-0.331179119,0.101,0.196,2.21e-214,"IRI_long_14",-0.095,"CHCHD7"
"Chchd7",534,0,0.422719338,0.221,0.166,0,"Control",0.055,"CHCHD7"
"Gchfr",535,0,0.421809116,0.119,0.031,0,"Control",0.088,"GCHFR"
"Trabd2b",536,0,0.420776361,0.141,0.05,0,"Control",0.091,"TRABD2B"
"Tnfrsf21",3369,2.33e-61,-0.242447708,0.113,0.156,5.43e-57,"IRI_short_3",-0.043,"TNFRSF21"
"Tnfrsf21",537,0,0.420466815,0.181,0.14,0,"Control",0.041,"TNFRSF21"
"Tnfrsf21",8138,3.72e-93,-0.227048169,0.104,0.161,8.66e-89,"IRI_long_14",-0.057,"TNFRSF21"
"Mat2a",4952,6.16e-110,-0.205118701,0.347,0.352,1.43e-105,"IRI_long_1",-0.005,"MAT2A"
"Mat2a",2303,0,-0.233932899,0.386,0.345,0,"IRI_short_1",0.041,"MAT2A"
"Mat2a",538,0,0.41916015,0.337,0.359,0,"Control",-0.022,"MAT2A"
"Mat2a",3823,1.2e-86,-0.277222658,0.306,0.358,2.79e-82,"IRI_short_14",-0.052,"MAT2A"
"Etfa",6253,4.09e-61,-0.234029713,0.245,0.288,9.52e-57,"IRI_long_3",-0.043,"ETFA"
"Etfa",2295,0,-0.230254147,0.324,0.278,0,"IRI_short_1",0.046,"ETFA"
"Etfa",539,0,0.418948781,0.308,0.274,0,"Control",0.034,"ETFA"
"Etfa",7134,0,-0.482427126,0.155,0.304,0,"IRI_long_14",-0.149,"ETFA"
"Etfa",4484,1.67e-257,-0.344078014,0.237,0.292,3.89e-253,"IRI_long_1",-0.055,"ETFA"
"Lpin1",540,0,0.41857906,0.123,0.034,0,"Control",0.089,"LPIN1"
"Ptprf",7077,0,-0.388695721,0.029,0.158,0,"IRI_long_14",-0.129,"PTPRF"
"Ptprf",3777,8.45e-107,-0.212354885,0.092,0.15,1.97e-102,"IRI_short_14",-0.058,"PTPRF"
"Ptprf",541,0,0.417605617,0.183,0.121,0,"Control",0.062,"PTPRF"
"Ptprf",5794,5.91e-133,-0.301279496,0.054,0.148,1.38e-128,"IRI_long_3",-0.094,"PTPRF"
"Plekhb2",8145,2.4e-89,-0.218586688,0.116,0.168,5.58e-85,"IRI_long_14",-0.052,"PLEKHB2"
"Plekhb2",542,0,0.417387692,0.196,0.144,0,"Control",0.052,"PLEKHB2"
"Rdh16f2",543,0,0.417254286,0.102,0.013,0,"Control",0.089,"RDH16"
"Dst",4755,5.64e-166,-0.228043937,0.159,0.165,1.31e-161,"IRI_long_1",-0.006,"DST"
"Dst",6085,1.38e-87,-0.285736495,0.088,0.169,3.21e-83,"IRI_long_3",-0.081,"DST"
"Dst",544,0,0.417002405,0.185,0.154,0,"Control",0.031,"DST"
"Dst",7622,5.07e-261,-0.333684645,0.074,0.178,1.18e-256,"IRI_long_14",-0.104,"DST"
"Smarca2",545,0,0.416709713,0.191,0.13,0,"Control",0.061,"SMARCA2"
"Smarca2",2693,3.41e-260,-0.21956056,0.141,0.152,7.92e-256,"IRI_short_1",-0.011,"SMARCA2"
"Smarca2",4880,7.57e-132,-0.24066469,0.109,0.156,1.76e-127,"IRI_long_1",-0.047,"SMARCA2"
"Acss2",546,0,0.415639908,0.129,0.037,0,"Control",0.092,"ACSS2"
"Rpl38",549,0,0.413477695,0.812,0.805,0,"Control",0.007,"RPL38"
"Rpl38",3530,0,-0.613893209,0.708,0.823,0,"IRI_short_14",-0.115,"RPL38"
