"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Mapk4",72,1.60996790731017e-278,-0.793417551997579,0.072,0.155,4.36832592290468e-274,"Health","MAPK4"
"Mapk4",623,0,0.669593277259661,0.184,0.101,0,"AKI","MAPK4"
"Mapk4",1554,1.77730837307915e-47,-0.249959683250465,0.119,0.147,4.82237080867565e-43,"CKD","MAPK4"
"Cubn",73,2.34815521629261e-278,0.706240181439595,0.183,0.108,6.37124954836673e-274,"Health","CUBN"
"Cubn",759,2.24667680890973e-224,-0.59550748308588,0.092,0.148,6.09590818561477e-220,"AKI","CUBN"
"Bcl2l1",1271,1.18255670174655e-249,-0.702589693172957,0.134,0.204,3.20863109884891e-245,"CKD","BCL2L1"
"Bcl2l1",74,5.36430093356278e-278,-0.696420561444128,0.105,0.2,1.45549577230359e-273,"Health","BCL2L1"
"Bcl2l1",591,0,0.996152225549783,0.251,0.123,0,"AKI","BCL2L1"
"Cep85",569,0,1.78799791121564,0.163,0.053,0,"AKI","CEP85"
"Cep85",1254,0,-1.34145690832609,0.058,0.125,0,"CKD","CEP85"
"Cep85",75,4.19288663254069e-275,-1.35606490471858,0.045,0.117,1.13765593000727e-270,"Health","CEP85"
"Tcf12",1056,2.699519788988e-54,0.284986338499767,0.182,0.153,7.32460704346115e-50,"AKI","TCF12"
"Tcf12",76,1.14841305486579e-273,-0.658589735619303,0.091,0.186,3.11598914176735e-269,"Health","TCF12"
"Thrb",77,3.16444430136716e-273,0.837435932487138,0.292,0.222,8.58608672289952e-269,"Health","THRB"
"Thrb",650,0,-0.825222496677385,0.187,0.275,0,"AKI","THRB"
"Hgd",78,1.78787634957247e-270,0.7035703163882,0.135,0.071,4.85104489929498e-266,"Health","HGD"
"Hgd",833,1.6201563254374e-162,-0.497386395249908,0.061,0.102,4.39597015780931e-158,"AKI","HGD"
"Esrrg",690,0,-1.21373624480075,0.461,0.67,0,"AKI","ESRRG"
"Esrrg",79,2.37318258728822e-270,0.334914860164427,0.608,0.57,6.43915631408912e-266,"Health","ESRRG"
"Esrrg",1220,0,0.869854882694746,0.708,0.509,0,"CKD","ESRRG"
"Large1",1393,2.87425143622426e-99,-0.442053102733689,0.167,0.213,7.79870642190729e-95,"CKD","LARGE1"
"Large1",80,2.49740691268414e-267,-0.715922222869211,0.122,0.217,6.77621417618587e-263,"Health","LARGE1"
"Large1",610,0,0.795522267765798,0.257,0.15,0,"AKI","LARGE1"
"Ctnna2",81,3.10541076384861e-267,0.844471406227644,0.121,0.061,8.42591102555043e-263,"Health","CTNNA2"
"Ctnna2",681,0,-1.0518987794045,0.035,0.104,0,"AKI","CTNNA2"
"Glis3",82,1.01465251673524e-266,-0.619565906185744,0.256,0.372,2.75305667365773e-262,"Health","GLIS3"
"Glis3",788,3.58184985937692e-187,0.539037377243759,0.379,0.323,9.71863322344741e-183,"AKI","GLIS3"
"Cryl1",83,2.59125932637214e-265,0.836077220142659,0.212,0.137,7.03086393024553e-261,"Health","CRYL1"
"Cryl1",789,3.99406836993574e-187,-0.590527836024609,0.122,0.177,1.08371057081466e-182,"AKI","CRYL1"
"Jmjd1c",593,0,0.975239988512503,0.285,0.183,0,"AKI","JMJD1C"
"Jmjd1c",84,8.98135970798572e-264,-0.755775439351152,0.149,0.249,2.43691232956777e-259,"Health","JMJD1C"
"Jmjd1c",1383,3.25305758205924e-103,-0.638457341358147,0.204,0.241,8.82652113740134e-99,"CKD","JMJD1C"
"Sema3c",85,7.23657408578833e-261,-0.779572191854899,0.052,0.126,1.96349964669695e-256,"Health","SEMA3C"
"Sema3c",813,1.44081454814555e-173,0.367404092536342,0.139,0.088,3.90936211348332e-169,"AKI","SEMA3C"
"Carmil1",620,0,0.697391979814408,0.332,0.212,0,"AKI","CARMIL1"
"Carmil1",1353,1.97111350815173e-127,-0.367575119868328,0.228,0.285,5.34822228166808e-123,"CKD","CARMIL1"
"Carmil1",86,4.6495589686083e-260,-0.644151470066509,0.187,0.286,1.26156483495249e-255,"Health","CARMIL1"
"Hlf",87,7.9255086805981e-258,0.652546476208733,0.108,0.052,2.15042827030668e-253,"Health","HLF"
"Chpt1",88,2.51259931111379e-254,0.836407963855335,0.306,0.242,6.81743571084504e-250,"Health","CHPT1"
"Chpt1",652,0,-0.833131886953971,0.202,0.298,0,"AKI","CHPT1"
"Slc25a21",675,0,-1.0018515769539,0.169,0.283,0,"AKI","SLC25A21"
"Slc25a21",1318,3.95968833932411e-168,0.38881962500548,0.277,0.209,1.07438223710881e-163,"CKD","SLC25A21"
"Slc25a21",89,1.03615473500106e-252,0.72089123910354,0.293,0.217,2.81139864247838e-248,"Health","SLC25A21"
"Kctd1",727,5.89602026985131e-273,0.881866179504114,0.142,0.083,1.59976717981876e-268,"AKI","KCTD1"
"Kctd1",1644,9.28151316716183e-16,-0.383675448462702,0.101,0.114,2.51835296764602e-11,"CKD","KCTD1"
"Kctd1",90,3.69882347380522e-247,-1.01058682326776,0.053,0.124,1.00360177314757e-242,"Health","KCTD1"
"Nfyc",692,0,-1.22999185365633,0.129,0.282,0,"AKI","NFYC"
"Nfyc",91,1.66239591063945e-242,0.676050261793446,0.274,0.198,4.51057882433802e-238,"Health","NFYC"
"Nfyc",1231,0,0.609273345719557,0.286,0.176,0,"CKD","NFYC"
