"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
"131",0,0.728782542706125,0.616,0.429,0,Control,CPEB3,0.187
"132",0,0.727112325602804,0.21,0.097,0,Control,CACNB4,0.113
"133",0,0.725364064459041,0.272,0.119,0,Control,XYLB,0.153
"134",0,0.725234421807042,0.179,0.056,0,Control,PRODH2,0.123
"135",0,0.724970287980116,0.341,0.18,0,Control,EHHADH,0.161
"136",0,0.721103906641779,0.302,0.151,0,Control,PRLR,0.151
"137",0,0.717873835024076,0.322,0.177,0,Control,AC034195.1,0.145
"138",0,0.717862014378079,0.39,0.18,0,Control,KATNAL2,0.21
"139",0,0.715084855329668,0.197,0.11,0,Control,SLIT3,0.087
"140",0,0.714374611542328,0.705,0.565,0,Control,CGNL1,0.14
"141",0,0.711807173092458,0.609,0.453,0,Control,PTPN4,0.156
"142",0,0.710123013870592,0.128,0.053,0,Control,NR4A1,0.075
"143",0,0.706474764605098,0.616,0.391,0,Control,ACACB,0.225
"144",0,0.706012415836597,0.731,0.6,0,Control,KANK1,0.131
"145",0,0.705896524320893,0.309,0.111,0,Control,TMEM72,0.198
"146",0,0.697979130488986,0.497,0.321,0,Control,FRMD4A,0.176
"147",0,0.695655108024752,0.269,0.189,0,Control,FGF14,0.08
"148",0,0.695067914653628,0.258,0.168,0,Control,AC087762.1,0.09
"149",0,0.694907756808155,0.481,0.294,0,Control,FAM85B,0.187
"150",0,0.6938931414514,0.45,0.251,0,Control,CDKL1,0.199
"151",0,0.693283304282468,0.252,0.099,0,Control,AC008554.1,0.153
"152",0,0.69232976914918,0.471,0.259,0,Control,EFHD1,0.212
"153",0,0.690270735812217,0.574,0.375,0,Control,SHLD2,0.199
"154",0,0.689204702908347,0.258,0.162,0,Control,MAN1C1,0.096
"155",0,0.687445208251847,0.356,0.227,0,Control,SLIT2,0.129
"156",0,0.686927888042412,0.279,0.168,0,Control,ARSB,0.111
"157",0,0.685949441663103,0.788,0.638,0,Control,KIAA1217,0.15
"158",0,0.681558209397429,0.191,0.046,0,Control,FMO1,0.145
"159",0,0.681554511729621,0.723,0.556,0,Control,NAALADL2,0.167
"160",0,0.679229097021673,0.286,0.115,0,Control,TMEM72-AS1,0.171
"161",0,0.679012090100613,0.26,0.104,0,Control,ABCC6,0.156
"162",0,0.678987513009497,0.181,0.065,0,Control,PLG,0.116
"163",0,0.675954225547598,0.873,0.767,0,Control,WWOX,0.106
"164",0,0.674571426778143,0.371,0.163,0,Control,D2HGDH,0.208
"165",0,0.673142343740029,0.456,0.247,0,Control,DNAJC11,0.209
"166",0,0.671733684056533,0.469,0.287,0,Control,FREM2,0.182
"167",0,0.669981260924391,0.255,0.077,0,Control,LINC00982,0.178
"168",0,0.669394688799627,0.253,0.137,0,Control,ASS1,0.116
"169",0,0.666291427861798,0.326,0.204,0,Control,ATP6V0A4,0.122
"170",0,0.665899408948117,0.375,0.227,0,Control,PRDM16,0.148
"171",0,0.663023979668031,0.808,0.669,0,Control,TNRC6A,0.139
"172",0,0.662782726481746,0.295,0.195,0,Control,HOMER1,0.1
"173",0,0.661949355985336,0.38,0.166,0,Control,EPHX2,0.214
"174",0,0.661637333993188,0.243,0.09,0,Control,MFSD4A,0.153
"175",0,0.658234748080051,0.601,0.407,0,Control,HIBCH,0.194
"176",0,0.657212267141565,0.377,0.298,0,Control,PTPRD,0.079
"177",0,0.654114680182902,0.275,0.108,0,Control,TRPV4,0.167
"178",0,0.650933281691191,0.567,0.393,0,Control,PCLO,0.174
"179",0,0.647840189157483,0.204,0.073,0,Control,Z93403.1,0.131
"180",0,0.647810514682183,0.349,0.185,0,Control,PBLD,0.164
"181",0,0.645232230130209,0.228,0.103,0,Control,EBNA1BP2,0.125
"182",0,0.644463631082023,0.847,0.753,0,Control,GPHN,0.094
"183",0,0.643860924120723,0.332,0.23,0,Control,SLC2A9,0.102
"184",0,0.643839705128809,0.278,0.134,0,Control,GATM,0.144
"185",0,0.642253768303949,0.16,0.065,0,Control,SLC22A7,0.095
"186",0,0.64115889471103,0.384,0.216,0,Control,MARC2,0.168
"187",0,0.639708938323995,0.309,0.164,0,Control,GALM,0.145
"188",0,0.636778981659088,0.305,0.165,0,Control,GK,0.14
"189",0,0.632100950690048,0.166,0.057,0,Control,SLC22A8,0.109
"190",0,0.631745411435394,0.835,0.729,0,Control,SNX29,0.106
"191",0,0.629784891115017,0.299,0.119,0,Control,FMO4,0.18
