"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Rpl8",244,0,0.22803216804139,0.908,0.777,0,"UUO",0.131,"RPL8"
"Cyba",245,0,0.227558504810267,0.685,0.514,0,"UUO",0.171,"CYBA"
"Msn",246,0,0.226748553192859,0.247,0.117,0,"UUO",0.13,"MSN"
"mt-Co2",247,0,0.226446617186459,0.993,0.872,0,"UUO",0.121,"MT-CO2"
"Ubb",248,0,0.226408771831269,0.731,0.585,0,"UUO",0.146,"UBB"
"Gpx4",249,0,0.225855126457492,0.858,0.742,0,"UUO",0.116,"GPX4"
"Cfl1",250,0,0.225808485085119,0.564,0.434,0,"UUO",0.13,"CFL1"
"Rpl36a",251,0,0.225768652852804,0.892,0.73,0,"UUO",0.162,"RPL36A"
"Acaa1b",252,0,0.225353329587451,0.378,0.237,0,"UUO",0.141,"ACAA1"
"Cisd3",253,0,0.224959604665167,0.369,0.231,0,"UUO",0.138,"CISD3"
"Cyp4b1",254,0,0.22475419531039,0.586,0.407,0,"UUO",0.179,"CYP4B1"
"Fkbp1a",255,0,0.224596624780366,0.431,0.275,0,"UUO",0.156,"FKBP1A"
"Gimap3",256,0,0.224210074597935,0.11,0.021,0,"UUO",0.089,"GIMAP1-GIMAP5"
"Polr1d",257,0,0.22399566250115,0.505,0.346,0,"UUO",0.159,"POLR1D"
"Scand1",258,0,0.223950379280354,0.56,0.393,0,"UUO",0.167,"SCAND1"
"Naca",259,0,0.223548412245082,0.77,0.601,0,"UUO",0.169,"NACA"
"Cox7a2l",260,0,0.223538222261586,0.606,0.444,0,"UUO",0.162,"COX7A2L"
"Fgfr1op2",261,0,0.223097171846254,0.285,0.152,0,"UUO",0.133,"FGFR1OP2"
"Mien1",262,0,0.223094980095448,0.53,0.372,0,"UUO",0.158,"MIEN1"
"Zbtb20",263,0,0.222557545738678,0.617,0.531,0,"UUO",0.086,"ZBTB20"
"Smlr1",264,0,0.222349006143548,0.201,0.074,0,"UUO",0.127,"SMLR1"
"Chpt1",265,0,0.221416740650789,0.756,0.658,0,"UUO",0.098,"CHPT1"
"Ttr",266,0,0.220730965573761,0.172,0.071,0,"UUO",0.101,"TTR"
"Rps26",267,0,0.220163405031354,0.877,0.725,0,"UUO",0.152,"RPS26"
"Ybx1",269,0,0.219424514294876,0.869,0.719,0,"UUO",0.15,"YBX1"
"Hnrnpa3",270,0,0.21925060639274,0.34,0.204,0,"UUO",0.136,"HNRNPA3"
"Cks2",271,0,0.217717312603335,0.309,0.174,0,"UUO",0.135,"CKS2"
"Abracl",272,0,0.217420939302572,0.351,0.214,0,"UUO",0.137,"ABRACL"
"Tmem176a",273,0,0.217290523931404,0.53,0.39,0,"UUO",0.14,"TMEM176A"
"Rpl31",276,0,0.215659705314749,0.924,0.788,0,"UUO",0.136,"RPL31"
"Cnn2",277,0,0.21543229826814,0.121,0.028,0,"UUO",0.093,"CNN2"
"Cyb5a",278,0,0.214480404695981,0.806,0.685,0,"UUO",0.121,"CYB5A"
"Actb",280,0,0.213566803858357,0.742,0.649,0,"UUO",0.093,"ACTB"
"Cd53",281,0,0.213552474768657,0.121,0.027,0,"UUO",0.094,"CD53"
"Rpl14",282,0,0.213471454597946,0.93,0.8,0,"UUO",0.13,"RPL14"
"2200002D01Rik",284,0,0.212309561566177,0.16,0.046,0,"UUO",0.114,"C19orf33"
