,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
142,0,0.81869422,0.263,0.061,0,Control,Pecr,0.202

143,0,0.817940127,0.208,0.018,0,Control,Hykk,0.19

144,0,0.813674936,0.714,0.575,0,Control,Atpif1,0.139

145,0,0.810767941,0.327,0.157,0,Control,Hmgcs1,0.17

146,0,0.810360103,0.333,0.155,0,Control,Idh1,0.178

147,0,0.80832967,0.268,0.099,0,Control,Ghr,0.169

148,0,0.808308122,0.347,0.18,0,Control,Sod1,0.167

149,0,0.807862685,0.238,0.047,0,Control,Slc17a1,0.191

150,0,0.805086214,0.619,0.5,0,Control,Minos1,0.119

151,0,0.803599531,0.24,0.039,0,Control,Dao,0.201

152,0,0.80324542,0.509,0.382,0,Control,Cops9,0.127

153,0,0.792621728,0.351,0.174,0,Control,Mettl26,0.177

154,0,0.790580963,0.246,0.048,0,Control,Bdh2,0.198

155,0,0.789811199,0.202,0.027,0,Control,G6pc,0.175

156,0,0.788808733,0.568,0.452,0,Control,Scp2,0.116

157,0,0.786537514,0.784,0.692,0,Control,Atp5j,0.092

158,0,0.785092878,0.64,0.505,0,Control,Mif,0.135

159,0,0.784829669,0.934,0.873,0,Control,Cox8a,0.061

160,0,0.784497164,0.26,0.057,0,Control,Folr1,0.203

161,0,0.783977305,0.252,0.053,0,Control,Fmo1,0.199

162,0,0.783107584,0.415,0.176,0,Control,Sult1d1,0.239

163,0,0.783048538,0.15,0.017,0,Control,Slc5a12,0.133

164,0,0.777219955,0.184,0.032,0,Control,Defb29,0.152

165,0,0.776977766,0.421,0.205,0,Control,Pth1r,0.216

166,0,0.775033888,0.304,0.111,0,Control,Mcrip2,0.193

167,0,0.772202795,0.403,0.253,0,Control,Bola3,0.15

168,0,0.768693966,0.572,0.356,0,Control,Selenop,0.216

169,0,0.764257665,0.25,0.084,0,Control,Prss8,0.166

170,0,0.761669645,0.207,0.037,0,Control,Slc17a3,0.17

171,0,0.759823047,0.318,0.156,0,Control,Smim4,0.162

172,0,0.758471478,0.423,0.242,0,Control,Hist1h2bc,0.181

173,0,0.752653217,0.245,0.203,0,Control,Gm10076,0.042

174,0,0.752558363,0.857,0.723,0,Control,Ndufa4,0.134

175,0,0.747678622,0.29,0.238,0,Control,Ppp1r1a,0.052

176,0,0.743637533,0.192,0.031,0,Control,Mfsd4b5,0.161

177,0,0.742577371,0.216,0.049,0,Control,Slc22a18,0.167

178,0,0.739807113,0.517,0.399,0,Control,Ndufb2,0.118

179,0,0.735097011,0.698,0.657,0,Control,Rpl23a,0.041

180,0,0.73484921,0.222,0.052,0,Control,Aldh4a1,0.17

181,0,0.733980218,0.675,0.532,0,Control,Mpc2,0.143

182,0,0.730334752,0.737,0.641,0,Control,Ndufb9,0.096

183,0,0.729769184,0.209,0.039,0,Control,Slc22a1,0.17

184,0,0.728023039,0.335,0.193,0,Control,Sephs2,0.142

185,0,0.72722635,0.333,0.269,0,Control,Tmem213,0.064

186,0,0.726897753,0.353,0.201,0,Control,Kcnj16,0.152

187,0,0.72492456,0.195,0.038,0,Control,Gm19950,0.157

188,0,0.724913236,0.755,0.618,0,Control,Dbi,0.137

189,0,0.721314373,0.22,0.056,0,Control,Prodh,0.164

190,0,0.720839312,0.266,0.118,0,Control,Gstt2,0.148

191,0,0.718776683,0.178,0.015,0,Control,Ak4,0.163

192,0,0.718014786,0.767,0.484,0,Control,Atp1b1,0.283

193,0,0.717560839,0.356,0.187,0,Control,Stard10,0.169

194,0,0.716489972,0.244,0.089,0,Control,Cryl1,0.155

195,0,0.714776452,0.433,0.296,0,Control,Ddt,0.137

196,0,0.714439555,0.448,0.311,0,Control,Aco2,0.137

197,0,0.712475453,0.38,0.243,0,Control,Hibadh,0.137

198,0,0.711845193,0.524,0.352,0,Control,Cystm1,0.172

199,0,0.709748795,0.191,0.032,0,Control,Cldn2,0.159

200,0,0.709739954,0.243,0.104,0,Control,Abca3,0.139

201,0,0.707354632,0.476,0.379,0,Control,Mrps21,0.097

202,0,0.703934037,0.24,0.066,0,Control,Ddah1,0.174

203,0,0.703465716,0.287,0.146,0,Control,Qdpr,0.141

204,0,0.702403867,0.21,0.035,0,Control,Pbld1,0.175

205,0,0.701974486,0.202,0.054,0,Control,Enpp2,0.148

206,0,0.701923922,0.15,0.02,0,Control,Slco1a6,0.13

207,0,0.700643929,0.281,0.131,0,Control,Chd3,0.15

208,0,0.698123476,0.147,0.012,0,Control,Slc5a8,0.135

209,0,0.696194194,0.289,0.131,0,Control,Abhd14b,0.158

210,0,0.695137575,0.371,0.25,0,Control,Fmc1,0.121

211,0,0.6950562,0.671,0.573,0,Control,Ndufb8,0.098

212,0,0.694613468,0.279,0.115,0,Control,Hpn,0.164

213,0,0.689711332,0.505,0.431,0,Control,Arpp19,0.074

214,0,0.689561514,0.526,0.406,0,Control,Etfb,0.12

215,0,0.689374173,0.188,0.031,0,Control,Aass,0.157

216,0,0.688524394,0.558,0.48,0,Control,Park7,0.078

217,0,0.686996919,0.202,0.045,0,Control,Me1,0.157

218,0,0.686623967,0.263,0.119,0,Control,Col4a4,0.144

219,0,0.68550312,0.18,0.019,0,Control,Xylb,0.161

220,0,0.683364192,0.279,0.084,0,Control,Cda,0.195

221,0,0.681687544,0.809,0.734,0,Control,Uqcrh,0.075

222,0,0.679518787,0.177,0.032,0,Control,Papss2,0.145

223,0,0.678535203,0.594,0.496,0,Control,Hspe1,0.098

224,0,0.676731225,0.801,0.691,0,Control,Atp5b,0.11

225,0,0.676533089,0.19,0.036,0,Control,Rab11fip3,0.154

226,0,0.675836527,0.337,0.156,0,Control,Lpl,0.181

227,0,0.674527222,0.537,0.438,0,Control,Sdhb,0.099

228,0,0.674214072,0.196,0.046,0,Control,Macrod2,0.15

229,0,0.671627446,0.389,0.253,0,Control,Acat1,0.136

230,0,0.670779688,0.24,0.084,0,Control,Gcdh,0.156

231,0,0.670057013,0.612,0.536,0,Control,Rps27l,0.076

232,0,0.669559406,0.21,0.07,0,Control,Pank1,0.14

233,0,0.669045348,0.142,0.012,0,Control,Slc22a28,0.13

234,0,0.668762456,0.314,0.182,0,Control,Dynll2,0.132

235,0,0.664119673,0.203,0.046,0,Control,Gas2,0.157

236,0,0.663933841,0.186,0.057,0,Control,Gm8797,0.129

237,0,0.659763963,0.195,0.05,0,Control,Slc37a4,0.145

238,0,0.658396636,0.35,0.321,0,Control,Rpl13a,0.029

239,0,0.658086219,0.765,0.73,0,Control,Gpx1,0.035

240,0,0.657445957,0.237,0.089,0,Control,Sirt3,0.148

241,0,0.656423312,0.301,0.166,0,Control,Acot13,0.135

242,0,0.656141209,0.878,0.827,0,Control,Rpl37a,0.051

243,0,0.655329571,0.223,0.1,0,Control,Ascc1,0.123

244,0,0.654189666,0.192,0.068,0,Control,Ldhd,0.124

245,0,0.653815495,0.27,0.159,0,Control,Nus1,0.111

246,0,0.652359695,0.422,0.316,0,Control,Mrpl12,0.106

247,0,0.648305035,0.246,0.122,0,Control,Ankrd13c,0.124

248,0,0.646884022,0.202,0.035,0,Control,Aqp1,0.167

249,0,0.643910194,0.679,0.618,0,Control,Hint1,0.061

250,0,0.642829723,0.201,0.053,0,Control,Cryzl2,0.148

251,0,0.640689105,0.176,0.034,0,Control,Pcx,0.142

252,0,0.639527688,0.178,0.042,0,Control,Gm44386,0.136

253,0,0.638637626,0.143,0.011,0,Control,Mlxipl,0.132

254,0,0.638456353,0.273,0.178,0,Control,Slirp,0.095

255,0,0.637562458,0.172,0.031,0,Control,Tcea3,0.141

256,0,0.636953847,0.526,0.462,0,Control,Tomm7,0.064

257,0,0.635298031,0.181,0.036,0,Control,Cmbl,0.145

258,0,0.634882746,0.264,0.14,0,Control,Ank3,0.124

259,0,0.633642889,0.259,0.118,0,Control,Bphl,0.141

260,0,0.632645718,0.324,0.2,0,Control,Suclg2,0.124

261,0,0.630907754,0.825,0.821,0,Control,Rps27,0.004

262,0,0.630015328,0.242,0.114,0,Control,Gcnt1,0.128

263,0,0.629564344,0.343,0.238,0,Control,Ogdh,0.105

264,0,0.629087157,0.345,0.2,0,Control,Hadh,0.145

265,0,0.628960286,0.387,0.312,0,Control,Atp6v1a,0.075

266,0,0.628705373,0.415,0.273,0,Control,Cdh16,0.142

267,0,0.62785034,0.174,0.036,0,Control,Smim24,0.138

268,0,0.627546929,0.544,0.447,0,Control,Ndufab1,0.097

269,0,0.62677432,0.186,0.045,0,Control,Gpd1,0.141

270,0,0.626271209,0.628,0.499,0,Control,Mdh1,0.129

271,0,0.626246451,0.169,0.039,0,Control,Dhcr24,0.13

272,0,0.625786638,0.25,0.1,0,Control,Cryz,0.15

273,0,0.624597311,0.226,0.117,0,Control,Asl,0.109

274,0,0.62193441,0.324,0.176,0,Control,Dab2,0.148

275,0,0.619529792,0.165,0.026,0,Control,Aspa,0.139

276,0,0.619016085,0.2,0.15,0,Control,Atp11a,0.05

277,0,0.616751591,0.203,0.065,0,Control,Gstz1,0.138

278,0,0.616727727,0.644,0.558,0,Control,Atp5o.1,0.086

279,0,0.616141674,0.153,0.014,0,Control,Aspdh,0.139

280,0,0.615917366,0.113,0.12,0,Control,Slc12a1,-0.007

281,0,0.615243743,0.75,0.67,0,Control,Atp1a1,0.08

282,0,0.61519183,0.719,0.634,0,Control,Atp5a1,0.085

283,0,0.613840642,0.286,0.203,0,Control,Neu1,0.083

284,0,0.612373879,0.216,0.084,0,Control,Tef,0.132

285,0,0.611611729,0.526,0.457,0,Control,2410015M20Rik,0.069

286,0,0.611076646,0.197,0.055,0,Control,Fah,0.142

287,0,0.610854005,0.528,0.429,0,Control,Cyc1,0.099

288,0,0.609650101,0.248,0.132,0,Control,Aldh1l1,0.116

289,0,0.608154422,0.151,0.016,0,Control,Slc26a1,0.135

290,0,0.606861828,0.92,0.862,0,Control,Cox4i1,0.058

291,0,0.605531851,0.168,0.037,0,Control,Alpl,0.131

292,0,0.605342777,0.562,0.498,0,Control,Ndufb5,0.064

293,0,0.603805273,0.249,0.13,0,Control,Atp6v0a4,0.119

294,0,0.603040976,0.544,0.477,0,Control,Uqcrfs1,0.067

295,0,0.60268484,0.144,0.023,0,Control,Trim7,0.121

296,0,0.601536409,0.207,0.055,0,Control,Pter,0.152

297,0,0.600557593,0.372,0.265,0,Control,Hagh,0.107

298,0,0.60025308,0.35,0.244,0,Control,Acadm,0.106

